year,month,disaster_type,country,latitude,longitude,casualties,economic_loss_usd
2018,2.0,Flood,Brazil,-22.479,-44.095,4,12492.0
2022,11.0,Flood,Rwanda,-3.262931204935317,29.517901310054203,3,0.0
2024,1.0,Drought,United States of America,36.91366830284823,-96.30737346517091,0,5400000.0
2022,8.0,Road,Indonesia,-0.8867421218422574,113.3910687901899,10,0.0
2022,9.0,Water,Tunisia,34.18866101747502,10.957399522291404,20,0.0
2023,4.0,Mass movement (wet),Democratic Republic of the Congo,-4.452239168624187,23.086233206711164,19,0.0
2022,9.0,Water,Cambodia,11.111734920261666,104.94723818717152,21,0.0
2022,10.0,Road,India,20.787571894718344,77.48979444612723,31,0.0
2022,10.0,Water,Greece,37.60482067217187,22.22659098989363,46,0.0
2022,10.0,Storm,Costa Rica,9.622158386215327,-85.21954490570913,0,0.0
2022,5.0,Fire (Miscellaneous),Senegal,13.421771217904555,-14.172246181042171,11,0.0
2022,6.0,Storm,Nepal,27.631234515735443,82.77488904866931,21,0.0
2022,6.0,Gas leak,Jordan,30.701758866478983,36.60274696503224,13,0.0
2022,6.0,Water,Senegal,13.26478544736969,-14.035854315307919,14,0.0
2022,6.0,Rail,Iran (Islamic Republic of),32.66831671896193,52.54704748607919,21,0.0
2022,7.0,Storm,Nicaragua,11.512447795491747,-86.02529553784044,4,0.0
2022,7.0,Flood,Indonesia,-1.8439592991932914,113.62521705883351,7,0.0
2022,7.0,Flood,Yemen,15.990129485465014,47.081851740590935,77,0.0
2022,7.0,Road,Kenya,-1.267495858696443,36.59264832053718,37,0.0
2022,7.0,Road,Peru,-8.12660464948014,-76.36867277212052,16,0.0
2022,7.0,Flood,Gambia,14.660577490855086,-15.145952016324188,6,0.0
2022,8.0,Flood,Nepal,27.879833308284297,84.47191903126185,132,0.0
2022,6.0,Flood,Mongolia,47.005359770561206,102.68795558109784,0,0.0
2022,8.0,Road,Bosnia and Herzegovina,44.80064874504922,17.237188044697525,12,0.0
2022,8.0,Flood,China,36.43091755060107,105.50105956046497,0,0.0
2022,8.0,Explosion (Miscellaneous),Armenia,41.121318419080936,44.044046954838095,17,0.0
2022,8.0,Road,Türkiye,38.96282312334504,36.40332251679792,15,0.0
2022,10.0,Air,Russian Federation,61.86543086185189,105.45880806820753,15,0.0
2022,8.0,Flood,Colombia,5.098770058549866,-73.48137744218735,0,0.0
2022,3.0,Epidemic,Sao Tome and Principe,-0.14561830797567,6.104144786870673,0,0.0
2022,10.0,Storm,Philippines,13.825864833781656,122.43205852988034,158,48844.0
2022,10.0,Miscellaneous accident (General),Republic of Korea,36.473516825750266,127.79992277824336,159,0.0
2022,11.0,Earthquake,Nepal,29.274,81.149,6,0.0
2022,11.0,Flood,Indonesia,-0.913065713280608,114.95997858154536,3,0.0
2022,11.0,Road,Algeria,27.212233195650082,0.9975429226849686,16,0.0
2022,11.0,Road,Egypt,27.44802413130686,30.126438063910303,12,0.0
2022,11.0,Explosion (Industrial),China,34.88129585096822,104.97588917715582,38,0.0
2022,11.0,Road,Morocco,30.760578482370242,-7.264983651379822,11,0.0
2022,12.0,Mass movement (wet),Colombia,5.069242902886867,-74.04474994052836,34,0.0
2022,12.0,Road,Ukraine,49.84947301105132,31.444257689809213,16,0.0
2022,11.0,Extreme temperature,Mongolia,47.63836842927244,104.21985895639655,0,0.0
2022,12.0,Road,Afghanistan,34.3920268553595,66.24109484166222,31,0.0
2022,12.0,Storm,Canada,56.36741186414825,-106.00823042306526,4,191865.0
2022,12.0,Storm,Japan,35.58209188415783,139.23618368604988,19,0.0
2024,5.0,Drought,Grenada,11.621447024084647,-61.06303441228357,0,0.0
2022,6.0,Water,Libya,25.994127423965498,17.9613624269236,23,0.0
2022,6.0,Road,Togo,9.86926002053161,1.5664966532209024,13,0.0
2022,11.0,Road,Nigeria,9.348940925212293,10.074707853049429,17,0.0
2022,5.0,Explosion (Industrial),Colombia,3.4812090832028044,-74.88679676131964,15,0.0
2022,6.0,Flood,Pakistan,30.658641810578793,69.46767807660046,1739,16078100.0
2022,7.0,Extreme temperature,Republic of Korea,34.44175194938922,128.3276829592975,2,0.0
2022,5.0,Water,Philippines,11.64457808091663,121.6166316930184,7,0.0
2022,5.0,Flood,Indonesia,-1.5473146509971096,114.90442591313344,0,0.0
2022,5.0,Water,Indonesia,-1.3329713640418674,113.33910356091916,19,0.0
2022,6.0,Flood,Côte d’Ivoire,8.167569496345216,-4.341553956727977,13,0.0
2022,6.0,Flood,South Africa,-32.01671707316986,24.409668485505335,0,0.0
2022,6.0,Flood,Cuba,20.967668756174128,-77.72052241708194,3,26797.0
2022,6.0,Fire (Industrial),Bangladesh,23.30057210363209,89.28844713430952,49,0.0
2022,6.0,Epidemic,Nepal,29.11563510585518,85.30780372182599,0,0.0
2022,7.0,Water,Nigeria,8.534695447423442,7.618052964724047,16,0.0
2022,7.0,Road,Nigeria,10.376960401109116,8.24609779872359,30,0.0
2022,8.0,Flood,Thailand,16.432788124260842,100.44612787468093,0,0.0
2022,8.0,Storm,New Zealand,-40.178826539768025,173.53608339021068,0,0.0
2022,8.0,Fire (Miscellaneous),Egypt,28.29428118430432,32.30152481508223,41,0.0
2022,8.0,Water,Libya,25.88059915148502,18.0919258957704,21,0.0
2022,8.0,Road,Iran (Islamic Republic of),32.19619547599018,53.895244380592054,16,0.0
2022,9.0,Fire (Miscellaneous),Viet Nam,14.910949871592331,109.06283722540063,32,0.0
2022,9.0,Earthquake,Indonesia,-1.240006575557297,113.58298165187732,0,0.0
